"strong_code","language","lemma","transliteration"
"H0433","hebrew","אֱלֹהַּ","e.lo.ah"
"H0434","hebrew","אֱלוּל","e.lul"
"H0435","hebrew","אֱלוּל","e.lul"
"H0436","hebrew","אֵלוֹן","e.lon"
"H0437","hebrew","אַלּוֹן","al.lon"
"H0438","hebrew","אַלּוֹן","al.lon"
"H0439","hebrew","אַלּוֹן בָּכוּת","al.lon ba.khut"
"H0440","hebrew","אֵלֹנִי","e.lo.ni"
"H0441a","hebrew","אַלּוּף","al.luph"
"H0441b","hebrew","אַלּוּף","al.luph"
"H0442","hebrew","אָלוּשׁ","a.lush"
"H0443","hebrew","אֶלְזָבָד","el.za.vad"
"H0444","hebrew","אָלַח","a.lach"
"H0445","hebrew","אֶלְחָנָן","el.cha.nan"
"H0446","hebrew","אֱלִיאָב","e.li.av"
"H0447","hebrew","אֱלִיאֵל","e.li.el"
"H0448","hebrew","אֳלִיאָ֫תָה","e.li.a.tah"
"H0449","hebrew","אֱלִידָד","e.li.dad"
"H0450","hebrew","אֶלְיָדָע","el.ya.da"
"H0451","hebrew","אַלְיָה","al.yah"
"H0452","hebrew","אֵלִיָּה","e.liy.yah"
"H0453","hebrew","אֱלִיהוּ","e.li.hu"
"H0454a","hebrew","אֶלְיְהוֹעֵינַי","el.ye.ho.e.nay"
"H0454b","hebrew","אֶלְיוֹעֵינַי","el.yo.e.nay"
"H0455","hebrew","אֶלְיַחְבָּא","el.yach.ba"
"H0456","hebrew","אֱלִיחֹ֫רֶף","e.li.cho.reph"
"H0457","hebrew","אֱלִיל","e.lil"
"H0458","hebrew","אֱלִימֶ֫לֶךְ","e.li.me.lekh"
"H0459","hebrew","אִלֵּין","il.len"
"H0460","hebrew","אֶלְיָסָף","el.ya.saph"
"H0461","hebrew","אֱלִיעֶ֫זֶר","e.li.e.zer"
"H0462","hebrew","אֱלִיעֵינַי","e.li.e.nay"
"H0463","hebrew","אֱלִיעָם","e.li.am"
"H0464","hebrew","אֱלִיפַז","e.li.phaz"
"H0465","hebrew","אֱלִיפָל","e.li.phal"
"H0466","hebrew","אֱלִיפְלֵ֫הוּ","e.liph.le.hu"
"H0467","hebrew","אֲלִיפֶ֫לֶט","e.li.phe.let"
"H0468","hebrew","אֱלִיצוּר","e.li.tsur"
"H0469","hebrew","אֱלִיצָפָן","e.li.tsa.phan"
"H0470","hebrew","אֱלִיקָא","e.li.qa"
"H0471","hebrew","אֶלְיָקִים","el.ya.qim"
"H0472","hebrew","אֱלִישֶׁ֫בַע","e.li.she.va"
"H0473","hebrew","אֱלִישָׁה","e.li.shah"
"H0474","hebrew","אֱלִישׁוּעַ","e.li.shu.a"
"H0475","hebrew","אֶלְיָשִׁיב","el.ya.shiv"
"H0476","hebrew","אֱלִישָׁמָע","e.li.sha.ma"
"H0477","hebrew","אֱלִישָׁע","e.li.sah"
"H0478","hebrew","אֱלִישָׁפָט","e.li.sha.phat"
"H0479","hebrew","אִלֵּךְ","il.lekh"
"H0480","hebrew","אַלְלַי","al.lay"
"H0481","hebrew","אָלַם","a.lam"
"H0482","hebrew","אֵ֫לֶם","e.lem"
"H0483","hebrew","אִלֵּם","il.lem"
"H0484","hebrew","אַלְמֻגִּים","al.mug.gim"
"H0485","hebrew","אֲלֻמָה","a.lum.mah"
"H0486","hebrew","אַלְמוֹדָד","al.mo.dad"
"H0487","hebrew","אַלַּמֶּלֶךְ","al.lam.me.lekh"
"H0488","hebrew","אַלְמָן","al.man"
"H0489","hebrew","אַלְמֹן","al.mon"
